politician,district,median_income,unearned_no_rent,unearned_with_rent
John K Delaney (D),MD06,73907,6893452,6893452
Elijah E Cummings (D),MD07,55653,1,10003
Chris Van Hollen (D),MD08,96216,2613,2613
Ben Cardin (D),MDS1,74149,43891,53491
Barbara A Mikulski (D),MDS2,74149,5407,5407
Chellie Pingree (D),ME01,55175,202,202
Bruce Poliquin (R),ME02,42985,467909,502914
Angus King (I),MES1,48804,305877,315879
Susan Collins (R),MES2,48804,47564,50065
Dan Benishek (R),MI01,43364,81482,86483
Bill Huizenga (R),MI02,48722,50809,50809
Justin Amash (R),MI03,51518,116520,131521
John Moolenaar (R),MI04,44152,5001,5001
Dan Kildee (D),MI05,41414,0,0
Fred Upton (R),MI06,46802,454143,454143
Tim Walberg (R),MI07,52405,3509,8510
Mike Bishop (R),MI08,62602,16352,16352
Sander Levin (D),MI09,50983,25368,57520
Candice S Miller (R),MI10,56169,9,9
Dave Trott (R),MI11,73581,5891039,5891039
Debbie Dingell (D),MI12,52407,133505,133505
John Conyers Jr (D),MI13,31640,0,0
Brenda Lawrence (D),MI14,41737,2404,7405
Gary Peters (D),MIS1,49087,76059,76260
Debbie Stabenow (D),MIS2,49087,0,0
Timothy J Walz (D),MN01,55367,202,202
John Kline (R),MN02,75123,0,15001
Erik Paulsen (R),MN03,79242,1429,1429
Betty McCollum (D),MN04,61630,0,0
Keith Ellison (D),MN05,53301,206,206
Tom Emmer (R),MN06,70845,50001,55002
Collin C Peterson (D),MN07,50775,2414,2414
Rick Nolan (D),MN08,49748,5206,11208
Al Franken (D),MNS1,60828,110338,110338
Amy Klobuchar (D),MNS2,60828,201,201
William L Clay Jr (D),MO01,40048,6,6
Ann L Wagner (R),MO02,75124,117485,119986
Blaine Luetkemeyer (R),MO03,55295,1002004,1003005
Vicky Hartzler (R),MO04,44967,100002,221614
Emanuel Cleaver (D),MO05,44844,21609,21609
Sam Graves (R),MO06,52758,17503,17503
Billy Long (R),MO07,41539,62565,67566
Jason Smith (R),MO08,38043,110908,135624
Roy Blunt (R),MOS1,47764,16709,16709
Claire McCaskill (D),MOS2,47764,1402560,4709751
Alan Nunnelee (R),MS01,41560,0,0
Bennie G Thompson (D),MS02,32216,4109,4109
Gregg Harper (R),MS03,41736,2501,17502
Steven Palazzo (R),MS04,42098,104214,104214
Thad Cochran (R),MSS1,39464,140884,140884
Roger Wicker (R),MSS2,39464,18210,28212
Ryan K Zinke (R),MT01,46766,20002,30004
Jon Tester (D),MTS1,46766,402,20404
Steven Daines (R),MTS2,46766,64521,452029
G K Butterfield (D),NC01,34285,55206,102714
Renee Ellmers (R),NC02,51127,1001,1001
Walter B Jones Jr (R),NC03,46001,5812,5812
David Price (D),NC04,49271,36379,36379
Virginia Foxx (R),NC05,43865,87434,107436
Mark Walker (R),NC06,49406,2702,7703
David Rouzer (R),NC07,45815,5002,10003
Richard Hudson (R),NC08,42041,0,0
Robert Pittenger (R),NC09,71808,3706,3706
Patrick McHenry (R),NC10,43350,1003,31007
Mark R Meadows (R),NC11,40531,8009,8009
Alma Adams (D),NC12,37088,0,0
George Holding (R),NC13,65053,140038,140038
Thom Tillis (R),NCS1,46693,58145,86650
Richard Burr (R),NCS2,46693,50604,65605
Kevin Cramer (R),ND01,55579,0,0
John Hoeven (R),NDS1,55579,2536582,2539083
Heidi Heitkamp (D),NDS2,55579,101733,101733
Jeff Fortenberry (R),NE01,53583,20003,20003
Brad Ashford (D),NE02,56862,155513,155513
Adrian Smith (R),NE03,47924,2409,7410
